TIME,TRADE_ID,LAST_EXECUTED_PRICE,LAST_EXECUTED_SIZE,SIDE,IS_MAKER,ORDER_ID,CLIENT_ORDER_ID,FEE_QUANTITY,FEE_ASSET
2021-12-23T00:00:14.129991594Z,94403264762921,48587,0.00155651,BUY,1,94403265319910,2021-12-2300:00:14_BUY,0,USDT
2021-12-23T00:00:14.319325346Z,94403264762922,48587,0.00067388,BUY,1,94403265319910,2021-12-2300:00:14_BUY,0,USDT
2021-12-23T00:00:14.319325346Z,94403264762923,48587,0.00136847,BUY,1,94403265319910,2021-12-2300:00:14_BUY,0,USDT
2021-12-23T00:00:15.080315134Z,94403264762924,48587.1,0.00014262,SELL,1,94403265319911,2021-12-2300:00:14_SELL,0,USDT
2021-12-23T00:00:15.805405245Z,94403264762925,48587,0.00243369,BUY,1,94403265319910,2021-12-2300:00:14_BUY,0,USDT
2021-12-23T00:00:15.952570373Z,94403264762926,48587.1,0.00021071,SELL,1,94403265319911,2021-12-2300:00:14_SELL,0,USDT
2021-12-23T00:00:16.893761301Z,94403264762927,48587,0.0025,BUY,1,94403265319910,2021-12-2300:00:14_BUY,0,USDT
2021-12-23T00:00:16.893761301Z,94403264762928,48587,0.0005,BUY,1,94403265319910,2021-12-2300:00:14_BUY,0,USDT
2021-12-23T00:00:16.893761301Z,94403264762929,48587,0.00074575,BUY,1,94403265319910,2021-12-2300:00:14_BUY,0,USDT
2021-12-23T00:00:17.587451220Z,94403264762930,48587.1,0.00657847,SELL,1,94403265319911,2021-12-2300:00:14_SELL,0,USDT
2021-12-23T00:00:17.587451220Z,94403264762931,48587.1,0.00006205,SELL,1,94403265319911,2021-12-2300:00:14_SELL,0,USDT
2021-12-23T00:00:17.587451220Z,94403264762932,48587.1,0.0025,SELL,1,94403265319911,2021-12-2300:00:14_SELL,0,USDT
2021-12-23T00:00:17.587451220Z,94403264762933,48587.1,0.03862816,SELL,1,94403265319911,2021-12-2300:00:14_SELL,0,USDT
2021-12-23T00:00:17.661164622Z,94403264762934,48587,0.00046455,BUY,1,94403265319910,2021-12-2300:00:14_BUY,0,USDT
2021-12-23T00:02:37.023337384Z,94403264762935,48638.7,0.00029038,SELL,1,94403265319913,2021-12-2300:02:37_SELL,0,USDT
