TIME,ORDER_ID,CLIENT_ORDER_ID,SIDE,LIMIT_PRICE,QUANTITY,REMAINING_QUANTITY,CUMULATIVE_FILLED_QUANTITY,CUMULATIVE_FILLED_PRICE_TIMES_QUANTITY,STATUS
2021-12-23T00:00:14.000000000Z,94403265319910,2021-12-2300:00:14_BUY,BUY,48587,0.04812201,0.04812201,0,,NEW
2021-12-23T00:00:14.000000000Z,94403265319911,2021-12-2300:00:14_SELL,SELL,48587.1,0.04812201,0.04812201,0,,NEW
2021-12-23T00:00:14.129991594Z,94403265319910,2021-12-2300:00:14_BUY,BUY,48587,0.04812201,0.0465655,0.00155651,,PARTIALLY_FILLED
2021-12-23T00:00:14.319325346Z,94403265319910,2021-12-2300:00:14_BUY,BUY,48587,0.04812201,0.04589162,0.00223039,,PARTIALLY_FILLED
2021-12-23T00:00:14.319325346Z,94403265319910,2021-12-2300:00:14_BUY,BUY,48587,0.04812201,0.04452315,0.00359886,,PARTIALLY_FILLED
2021-12-23T00:00:15.080315134Z,94403265319911,2021-12-2300:00:14_SELL,SELL,48587.1,0.04812201,0.04797939,0.00014262,,PARTIALLY_FILLED
2021-12-23T00:00:15.805405245Z,94403265319910,2021-12-2300:00:14_BUY,BUY,48587,0.04812201,0.04208946,0.00603255,,PARTIALLY_FILLED
2021-12-23T00:00:15.952570373Z,94403265319911,2021-12-2300:00:14_SELL,SELL,48587.1,0.04812201,0.04776868,0.00035333,,PARTIALLY_FILLED
2021-12-23T00:00:16.893761301Z,94403265319910,2021-12-2300:00:14_BUY,BUY,48587,0.04812201,0.03958946,0.00853255,,PARTIALLY_FILLED
2021-12-23T00:00:16.893761301Z,94403265319910,2021-12-2300:00:14_BUY,BUY,48587,0.04812201,0.03908946,0.00903255,,PARTIALLY_FILLED
2021-12-23T00:00:16.893761301Z,94403265319910,2021-12-2300:00:14_BUY,BUY,48587,0.04812201,0.03834371,0.0097783,,PARTIALLY_FILLED
2021-12-23T00:00:17.587451220Z,94403265319911,2021-12-2300:00:14_SELL,SELL,48587.1,0.04812201,0.04119021,0.0069318,,PARTIALLY_FILLED
2021-12-23T00:00:17.587451220Z,94403265319911,2021-12-2300:00:14_SELL,SELL,48587.1,0.04812201,0.04112816,0.00699385,,PARTIALLY_FILLED
2021-12-23T00:00:17.587451220Z,94403265319911,2021-12-2300:00:14_SELL,SELL,48587.1,0.04812201,0.03862816,0.00949385,,PARTIALLY_FILLED
2021-12-23T00:00:17.587451220Z,94403265319911,2021-12-2300:00:14_SELL,SELL,48587.1,0.04812201,0,0.04812201,,FILLED
2021-12-23T00:00:17.661164622Z,94403265319910,2021-12-2300:00:14_BUY,BUY,48587,0.04812201,0.03787916,0.01024285,,PARTIALLY_FILLED
2021-12-23T00:00:27.000000000Z,94403265319910,2021-12-2300:00:14_BUY,BUY,48587,0.04812201,0.03787916,0.01024285,,CANCELED
2021-12-23T00:02:37.000000000Z,94403265319912,2021-12-2300:02:37_BUY,BUY,48638.6,0.04810538,0.04810538,0,,NEW
2021-12-23T00:02:37.000000000Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.04810538,0,,NEW
2021-12-23T00:02:37.023337384Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.047815,0.00029038,,PARTIALLY_FILLED
2021-12-23T00:02:37.075365125Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.04753612,0.00056926,,PARTIALLY_FILLED
2021-12-23T00:02:37.106322077Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.04625112,0.00185426,,PARTIALLY_FILLED
2021-12-23T00:02:37.168083792Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.04497086,0.00313452,,PARTIALLY_FILLED
2021-12-23T00:02:37.273054614Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.04495855,0.00314683,,PARTIALLY_FILLED
2021-12-23T00:02:37.325456545Z,94403265319912,2021-12-2300:02:37_BUY,BUY,48638.6,0.04810538,0.03901868,0.0090867,,PARTIALLY_FILLED
2021-12-23T00:02:37.336350824Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.04446163,0.00364375,,PARTIALLY_FILLED
2021-12-23T00:02:37.356550714Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.04207659,0.00602879,,PARTIALLY_FILLED
2021-12-23T00:02:37.366914657Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.04186124,0.00624414,,PARTIALLY_FILLED
2021-12-23T00:02:37.367121194Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.04067436,0.00743102,,PARTIALLY_FILLED
2021-12-23T00:02:37.430221986Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.04054441,0.00756097,,PARTIALLY_FILLED
2021-12-23T00:02:37.461788447Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.04026198,0.0078434,,PARTIALLY_FILLED
2021-12-23T00:02:37.512990400Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.04013213,0.00797325,,PARTIALLY_FILLED
2021-12-23T00:02:37.554840407Z,94403265319912,2021-12-2300:02:37_BUY,BUY,48638.6,0.04810538,0.0310255,0.01707988,,PARTIALLY_FILLED
2021-12-23T00:02:37.586071333Z,94403265319912,2021-12-2300:02:37_BUY,BUY,48638.6,0.04810538,0.03052818,0.0175772,,PARTIALLY_FILLED
2021-12-23T00:02:37.683094896Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.03600192,0.01210346,,PARTIALLY_FILLED
2021-12-23T00:02:37.779736505Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.03540768,0.0126977,,PARTIALLY_FILLED
2021-12-23T00:02:37.800752696Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.03486274,0.01324264,,PARTIALLY_FILLED
2021-12-23T00:02:37.938738484Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.03305777,0.01504761,,PARTIALLY_FILLED
2021-12-23T00:02:38.201651746Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.03270095,0.01540443,,PARTIALLY_FILLED
2021-12-23T00:02:38.265796379Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.02615555,0.02194983,,PARTIALLY_FILLED
2021-12-23T00:02:38.319507468Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.02543696,0.02266842,,PARTIALLY_FILLED
2021-12-23T00:02:38.361963750Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.02537934,0.02272604,,PARTIALLY_FILLED
2021-12-23T00:02:38.372442030Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.02395909,0.02414629,,PARTIALLY_FILLED
2021-12-23T00:02:38.414969847Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.02394589,0.02415949,,PARTIALLY_FILLED
2021-12-23T00:02:38.415251220Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.0239053,0.02420008,,PARTIALLY_FILLED
2021-12-23T00:02:38.415329663Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.02379216,0.02431322,,PARTIALLY_FILLED
2021-12-23T00:02:38.425672100Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.02377893,0.02432645,,PARTIALLY_FILLED
2021-12-23T00:02:38.466592234Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.02375684,0.02434854,,PARTIALLY_FILLED
2021-12-23T00:02:38.487071673Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.02365188,0.0244535,,PARTIALLY_FILLED
2021-12-23T00:02:38.519268582Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.02362202,0.02448336,,PARTIALLY_FILLED
2021-12-23T00:02:38.519498152Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.02360876,0.02449662,,PARTIALLY_FILLED
2021-12-23T00:02:38.529057176Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.02347716,0.02462822,,PARTIALLY_FILLED
2021-12-23T00:02:38.581879875Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.02296412,0.02514126,,PARTIALLY_FILLED
2021-12-23T00:02:38.592422423Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.02289402,0.02521136,,PARTIALLY_FILLED
2021-12-23T00:02:38.614028096Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.02277507,0.02533031,,PARTIALLY_FILLED
2021-12-23T00:02:38.635356046Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.02175347,0.02635191,,PARTIALLY_FILLED
2021-12-23T00:02:38.645814912Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.01654358,0.0315618,,PARTIALLY_FILLED
2021-12-23T00:02:38.656452399Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.01134185,0.03676353,,PARTIALLY_FILLED
2021-12-23T00:02:38.667254511Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.00614676,0.04195862,,PARTIALLY_FILLED
2021-12-23T00:02:38.687491774Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.00094855,0.04715683,,PARTIALLY_FILLED
2021-12-23T00:02:38.707831037Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0.00043756,0.04766782,,PARTIALLY_FILLED
2021-12-23T00:02:38.708056508Z,94403265319913,2021-12-2300:02:37_SELL,SELL,48638.7,0.04810538,0,0.04810538,,FILLED
2021-12-23T00:02:38.942393072Z,94403265319912,2021-12-2300:02:37_BUY,BUY,48638.6,0.04810538,0.02937515,0.01873023,,PARTIALLY_FILLED
2021-12-23T00:02:38.952909747Z,94403265319912,2021-12-2300:02:37_BUY,BUY,48638.6,0.04810538,0.02891305,0.01919233,,PARTIALLY_FILLED
2021-12-23T00:02:38.953164469Z,94403265319912,2021-12-2300:02:37_BUY,BUY,48638.6,0.04810538,0.02884456,0.01926082,,PARTIALLY_FILLED
