TIME,BASE_AVAILABLE_BALANCE,QUOTE_AVAILABLE_BALANCE,BEST_BID_PRICE,BEST_ASK_PRICE
2021-12-08T00:00:09.000000000Z,0.22964901797,91035.832881,50582.3,50582.4
2021-12-08T00:00:22.000000000Z,0.22964901797,91035.832881,50597.3,50597.4
2021-12-08T00:00:35.000000000Z,0.22964901797,91035.832881,50612.5,50612.6
2021-12-08T00:00:48.000000000Z,0.22964901797,91035.832881,50625.4,50627.6
2021-12-08T00:01:01.000000000Z,0.22964901797,91035.832881,50630,50631.4
2021-12-08T00:01:14.000000000Z,0.22964901797,91035.832881,50607.1,50607.2
2021-12-08T00:01:27.000000000Z,0.22964901797,91035.832881,50599.2,50599.3
2021-12-08T00:01:40.000000000Z,0.22964901797,91035.832881,50572.8,50572.9
2021-12-08T00:01:53.000000000Z,0.22964901797,91035.832881,50567,50567.1
2021-12-08T00:02:06.000000000Z,0.22964901797,91035.832881,50559.6,50559.7
2021-12-08T00:02:19.000000000Z,0.22964901797,91035.832881,50542,50542.1
2021-12-08T00:02:32.000000000Z,0.22964901797,91035.832881,50526,50527.1
2021-12-08T00:02:45.000000000Z,0.22964901797,91035.832881,50528.3,50528.4
2021-12-08T00:02:58.000000000Z,0.22964901797,91035.832881,50543.2,50544.9
2021-12-08T00:03:11.000000000Z,0.22964901797,91035.832881,50519.4,50519.5
2021-12-08T00:03:24.000000000Z,0.22964901797,91035.832881,50512.3,50512.4
2021-12-08T00:03:37.000000000Z,0.22964901797,91035.832881,50506,50506.1
2021-12-08T00:03:50.000000000Z,0.22964901797,91035.832881,50480.8,50483.8
2021-12-08T00:04:03.000000000Z,0.22964901797,91035.832881,50480.9,50481
2021-12-08T00:04:16.000000000Z,0.22964901797,91035.832881,50468.2,50468.5
2021-12-08T00:04:29.000000000Z,0.22964901797,91035.832881,50468.1,50468.2
2021-12-08T00:04:42.000000000Z,0.22964901797,91035.832881,50468.1,50468.2
2021-12-08T00:04:55.000000000Z,0.22964901797,91035.832881,50476.9,50477
2021-12-08T00:05:08.000000000Z,0.22964901797,91035.832881,50477.9,50478
2021-12-08T00:05:21.000000000Z,0.18230095797,93425.868254,50484.3,50484.4
2021-12-08T00:05:34.000000000Z,0.20830173797,92113.23921,50464.7,50464.8
2021-12-08T00:05:47.000000000Z,0.20830173797,92113.23921,50468.8,50468.9
2021-12-08T00:05:59.846068340Z,0.20830173797,92113.243946,50468.8,50468.9
2021-12-08T00:06:13.000000000Z,0.25007163797,90005.167775,50461.9,50462
2021-12-08T00:06:26.000000000Z,0.25007163797,90005.167775,50459.1,50459.2
2021-12-08T00:06:39.000000000Z,0.25007163797,90005.167775,50478.1,50478.2
2021-12-08T00:06:52.000000000Z,0.25007163797,90005.167775,50459.6,50459.7
2021-12-08T00:07:05.000000000Z,0.25007163797,90005.167775,50443.1,50443.2
2021-12-08T00:07:18.000000000Z,0.25007163797,90005.167775,50407,50407.3
2021-12-08T00:07:31.000000000Z,0.25007163797,90005.167775,50381.3,50382.2
